fecha;temperatura;humedad;presion_atm;dd;viento;sensacion_termica;banda
2023-01-01;21.266666666666666;87.0;1009.0833333333334;210.0;7.333333333333333;21.266666666666666;valle
2023-01-02;18.566666666666666;69.16666666666667;1013.25;255.0;4.666666666666667;18.566666666666666;valle
2023-01-03;21.183333333333334;58.333333333333336;1008.3166666666666;288.3333333333333;4.333333333333333;21.183333333333334;valle
2023-01-04;20.650000000000002;78.33333333333333;1012.6333333333333;188.33333333333334;6.333333333333333;20.650000000000002;valle
2023-01-05;23.55;42.166666666666664;1011.3666666666667;236.66666666666666;4.0;23.55;valle
2023-01-06;23.833333333333332;47.0;1013.1333333333333;258.3333333333333;3.6666666666666665;23.833333333333332;valle
2023-01-07;24.566666666666666;43.666666666666664;1012.5;211.66666666666666;4.333333333333333;25.897734787973334;valle
2023-01-08;27.816666666666666;41.166666666666664;1013.3000000000001;270.0;4.333333333333333;34.920160938113334;valle
2023-01-09;26.683333333333334;40.0;1009.7666666666668;238.33333333333334;6.5;29.49974814502667;valle
2023-01-10;27.433333333333334;38.666666666666664;1007.4833333333332;320.0;4.0;31.649148012530002;valle
2023-01-11;25.366666666666664;53.0;1007.8833333333333;240.0;11.166666666666666;28.31171070849;valle
2023-01-12;21.433333333333334;78.33333333333333;1009.8666666666667;296.6666666666667;5.0;21.433333333333334;valle
2023-01-13;17.433333333333334;82.5;1012.1833333333334;256.6666666666667;3.6666666666666665;17.433333333333334;valle
2023-01-14;20.5;63.666666666666664;1009.85;265.0;3.6666666666666665;20.5;valle
2023-01-15;23.349999999999998;45.833333333333336;1008.65;235.0;3.3333333333333335;23.349999999999998;valle
2023-01-16;25.96666666666667;47.833333333333336;1010.2833333333333;238.33333333333334;6.5;29.23072976584667;valle
2023-01-17;24.150000000000002;50.833333333333336;1009.6;311.6666666666667;5.5;25.50784657810667;valle
2023-01-18;22.45;83.0;1014.25;223.33333333333334;8.5;26.982420914499993;valle
2023-01-19;25.316666666666666;77.83333333333333;1013.6666666666666;210.0;5.0;30.23189706917334;valle
2023-01-20;27.883333333333336;68.83333333333333;1006.4166666666666;261.6666666666667;7.666666666666667;51.38426531716001;valle
2023-01-21;22.566666666666666;82.5;1005.6166666666667;196.66666666666666;9.5;27.099087581166657;valle
2023-01-22;23.8;80.33333333333333;1007.5666666666666;276.6666666666667;4.0;23.8;valle
2023-01-23;22.3;73.16666666666667;1008.8666666666667;213.33333333333334;4.333333333333333;25.234516787739995;valle
2023-01-24;25.483333333333334;63.833333333333336;1004.8166666666666;315.0;3.6666666666666665;32.13032271217666;valle
2023-01-25;24.183333333333334;75.83333333333333;1007.7833333333333;138.33333333333334;7.5;24.183333333333334;valle
2023-01-26;23.45;78.83333333333333;1006.5666666666666;41.666666666666664;5.0;27.98647103361334;valle
2023-01-27;25.400000000000002;77.5;1006.7833333333333;218.33333333333334;2.8333333333333335;49.816026806566676;valle
2023-01-28;20.483333333333334;89.66666666666667;1012.9333333333334;210.0;5.166666666666667;20.483333333333334;valle
2023-01-29;22.933333333333334;83.83333333333333;1014.4666666666667;228.33333333333334;5.333333333333333;22.933333333333334;valle
2023-01-30;23.349999999999998;85.33333333333333;1010.9666666666667;200.0;5.5;27.633420285289997;valle
2023-01-31;25.166666666666668;79.16666666666667;1007.3166666666666;153.33333333333334;3.0;29.85842177326667;valle
2023-02-01;25.78333333333333;72.66666666666667;1010.8666666666667;195.0;6.166666666666667;44.753752552773335;valle
2023-02-02;19.383333333333336;90.0;1015.1666666666666;236.66666666666666;10.5;19.383333333333336;valle
2023-02-03;21.583333333333332;80.0;1015.1833333333334;200.0;6.333333333333333;21.583333333333332;valle
2023-02-04;20.7;76.33333333333333;1017.6166666666667;201.66666666666666;5.666666666666667;20.7;valle
2023-02-05;20.416666666666668;73.5;1014.5166666666668;273.3333333333333;4.166666666666667;20.416666666666668;valle
2023-02-06;23.416666666666668;62.833333333333336;1007.5500000000001;306.6666666666667;4.0;26.170517761500005;valle
2023-02-07;24.583333333333332;61.333333333333336;1009.1;288.3333333333333;3.3333333333333335;27.61779678480666;valle
2023-02-08;25.566666666666666;60.0;1007.9499999999999;301.6666666666667;3.6666666666666665;31.325943321400008;valle
2023-02-09;24.166666666666668;70.33333333333333;1008.8166666666666;196.66666666666666;4.5;27.486405909186672;valle
2023-02-10;24.28333333333333;69.66666666666667;1009.1;243.33333333333334;3.3333333333333335;27.302416075886665;valle
2023-02-11;24.983333333333334;60.833333333333336;1006.5166666666668;258.3333333333333;4.833333333333333;31.24520087933334;valle
2023-02-12;30.016666666666666;53.5;1002.0833333333334;231.66666666666666;8.666666666666666;50.05185152618666;valle
2023-02-13;29.0;51.333333333333336;999.8666666666667;70.0;8.333333333333334;45.54979089536001;valle
2023-02-14;23.78333333333333;65.5;1005.75;283.3333333333333;5.166666666666667;23.78333333333333;valle
2023-02-15;23.366666666666664;64.0;1007.6;188.33333333333334;6.0;26.89190856850001;valle
2023-02-16;20.933333333333334;63.0;1002.7833333333333;180.0;15.5;24.53232209406667;valle
2023-02-17;13.133333333333333;64.16666666666667;1016.2666666666668;205.0;10.333333333333334;13.133333333333333;valle
2023-02-18;8.966666666666667;60.333333333333336;1023.5;255.0;4.666666666666667;8.966666666666667;valle
2023-02-19;15.633333333333333;53.5;1017.2333333333332;28.333333333333332;3.6666666666666665;15.633333333333333;valle
2023-02-20;19.416666666666668;55.5;1014.7833333333333;123.33333333333333;5.5;19.416666666666668;valle
2023-02-21;21.099999999999998;64.66666666666667;1011.7666666666668;300.0;3.0;21.099999999999998;valle
